,chromosome,start,end
MIR92B,chr1,155164968,155165063
OR10Q1,chr11,57995354,57996390
IL17A,chr6,52051185,52055436
RNU6-31P,chr2,201694732,201694839
RRM2P4,chrX,143392257,143392818
OR10W1,chr11,58034264,58035732
RNA5SP115,chr2,201713761,201713867
ABRACL,chr6,139349819,139364439
ATP6V1G1P2,chr8,48105625,48105970
ADK,chr10,75910960,76469061
OR5B17,chr11,58125597,58126542
HNRNPCP10,chrX,143922298,143923181
CDC42BPG,chr11,64590859,64612041
OR5B3,chr11,58169937,58170882
TDGF1P2,chr2,228734799,228735360
RNA5SP328,chr10,127834043,127834151
FAM86HP,chr3,129817935,129830315
RN7SKP189,chrX,144138628,144138957
OR5B2,chr11,58189738,58190786
OPN1MW,chrX,153448107,153461633
CYCSP44,chrX,144258102,144258414
MTND4P21,chr2,132129867,132131223
LINC00601,chr10,128102438,128110448
RNU6-36P,chr12,98115494,98115600
MIR5000,chr2,75317939,75318041
RNU6-624P,chr2,229034459,229034565
MIR4495,chr12,98332834,98332899
OR5B12,chr11,58206593,58207646
GINM1,chr6,149887430,149912884
BEST4,chr1,45249257,45253377
IGLV8OR8-1,chr8,48114067,48114520
MIR4303,chr12,98389161,98389226
GUCY1B3,chr4,156680144,156728743
GAPDHP57,chr2,75683120,75683704
OR5B21,chr11,58274648,58275578
OR1X5P,chr5,177263435,177264647
CUL5,chr11,107879459,107978503
CPE,chr4,166282346,166419472
MTUS2,chr13,29598748,30077892
MRGPRG,chr11,3239174,3240043
RNU4-41P,chr12,98811674,98811816
CHEK2,chr22,29083731,29138410
SLC9A7P1,chr12,98847613,98850923
ENPP7P3,chr3,129886633,129886873
PEX26,chr22,18560689,18613905
NHLRC4,chr16,616996,619495
GBAP1,chr1,155183616,155197214
CHRNA4,chr20,61975420,62009753
SCRN2,chr17,45915058,45918699
TMPO-AS1,chr12,98906751,98910200
DCC,chr18,49866542,51057784
HECA,chr6,139456249,139501939
MRGPRE,chr11,3248928,3253616
TLR7,chrX,12885202,12908499
LPXN,chr11,58294344,58345693
PET112,chr4,152591656,152682175
EMX1,chr2,73143389,73162020
RPL7L1P10,chr2,229618040,229618502
GNGT2,chr17,47280153,47287936
DDX46,chr5,134094469,134190823
ACPP,chr3,132036211,132087142
MTATP6P4,chr2,132138489,132139163
RNU1-32P,chr2,60611740,60611898
RN7SL633P,chr22,31455975,31456269
MIR890,chrX,145075793,145075869
MIR4432,chr2,60614497,60614580
MIR888,chrX,145076302,145076378
RNU6-665P,chr8,48580333,48580439
RN7SL361P,chr2,60867840,60868135
FAM222B,chr17,27082996,27182250
MIR892A,chrX,145078187,145078261
TEX28P1,chrX,153461812,153482755
GRIN2C,chr17,72838162,72857627
RNU6-519P,chr8,48891974,48892081
STAG3L5P,chr7,99933702,99949523
STARD3NL,chr7,38217824,38270272
RPL3P6,chr5,60686495,60687698
DMBX1,chr1,46972668,46979898
YTHDF1P1,chr5,96704480,96706125
MIR892B,chrX,145078716,145078792
TBC1D3B,chr17,34493061,34503996
EXOC6,chr10,94590935,94819250
SCAF8,chr6,155054459,155155192
MIR891B,chrX,145082571,145082649
RNU6-612P,chr2,60946775,60946876
ATP1B3P1,chr2,60962030,60962850
C3orf49,chr3,63805038,63834312
RN7SKP283,chr2,230101056,230101325
MIR891A,chrX,145109312,145109390
RNU7-9P,chr2,230470954,230471015
RNU6-295P,chr8,49220487,49220590
TXLNB,chr6,139561198,139613276
MIR3928,chr22,31556048,31556105
RPL29P19,chr8,49297150,49297609
RNF185-AS1,chr22,31601250,31601602
RNA5SP517,chrX,145508974,145509090
RNU6-613P,chr2,230759062,230759169
SUDS3P1,chr5,177398317,177399282
RNU6-964P,chr2,230802530,230802598
RNU6-1128P,chr22,31618731,31618839
FBXO36-IT1,chr2,230807444,230809853
OPN1MW2,chrX,153485225,153498755
RNU6-1027P,chr2,230838031,230838137
MTND2P18,chr2,132142034,132143063
RNY4P19,chr2,230922945,230923040
SMOX,chr20,4101627,4168394
PRDM13,chr6,100054606,100063454
PPP1R1B,chr17,37782993,37792879
PLK3,chr1,45265897,45271662
RAB40C,chr16,639357,679272
RNA5SP496,chr22,31701390,31701498
HIGD1AP5,chr11,18128130,18128388
RPS14P4,chr2,112053206,112053623
STAG3L5P-PVRIG2P-PILRB,chr7,99933727,99965454
RN7SL834P,chr2,231371816,231372099
RN7SL632P,chr2,61058800,61059063
RNU6-338P,chr22,31784719,31784823
OARD1,chr6,41001366,41065526
COL6A4P2,chr3,129931666,129992649
RPL34P34,chr19,22551401,22551754
HMGB1P3,chr2,231379738,231380353
SAA3P,chr11,18134019,18137679
TLR8,chrX,12924739,12941288
RNA5SP100,chr2,91862883,91862992
CCNYL2,chr10,42903616,42967688
RN7SKP145,chr5,148495741,148496043
OVCH1,chr12,29565407,29650619
TMEM132D,chr12,129556270,130388211
DRD5P1,chr2,91872473,91874507
KNCN,chr1,47011316,47017199
RNU6-913P,chr5,60959972,60960066
PYGO1,chr15,55831088,55881145
MTND1P26,chr2,132143273,132143810
IGBP1P4,chr4,83322731,83323609
RPL7AP26,chr4,83411976,83412788
RNU6-28P,chr22,31875369,31875475
RNU4-51P,chr2,61138438,61138577
TLL1,chr4,166794410,167025047
H2AFZP6,chr22,31917185,31917578
PI16,chr6,36922209,36932613
MCHR2,chr6,100367786,100442123
GLTPP1,chr11,18210547,18211168
TPM3P8,chr2,231437882,231438524
TMSB4X,chrX,12993227,12995346
ZNF209P,chr19,22646724,22655838
GRPEL2-AS1,chr5,148727679,148737205
RN7SL324P,chr19,50900510,50900775
RDH13,chr19,55550476,55582659
TUBA8,chr22,18593097,18629321
MTX1P1,chr1,155200766,155204116
SAA2-SAA4,chr11,18252970,18270182
RN7SL179P,chr12,98918254,98918535
GMCL1P1,chr5,177612720,177614300
FAM186B,chr12,49976668,49999422
NONOP2,chr2,61163954,61165184
RNU6-451P,chr2,231451836,231451942
LINC00575,chr4,83534266,83542590
PVRIG2P,chr7,99949983,99951315
HOXA-AS2,chr7,27147396,27173921
RNA5SP333,chr11,18269936,18270053
BANF1P3,chr2,231589858,231590118
SLX1B,chr16,29465822,29469540
ST13P5,chr11,18283529,18284638
CRTC1,chr19,18794487,18893004
SLC35B3,chr6,8413301,8435794
GPR32P1,chr19,51261639,51262449
LINC00839,chr10,42970991,42990784
MED15P3,chr2,132152790,132153115
RELL2,chr5,141016517,141020644
HNRNPCP1,chr14,58987941,58988706
MIR143HG,chr5,148786252,148808241
ACAT1,chr11,107992243,108018503
ZNF195,chr11,3360491,3400448
RN7SL646P,chr5,177804925,177805219
FIGLA,chr2,71004442,71017775
MIR575,chr4,83674490,83674583
RNA5SP334,chr11,18287940,18288057
TACC1,chr8,38585704,38710546
RN7SL161P,chr7,100060452,100060725
RN7SKP157,chr5,61442492,61442773
MIR3159,chr11,18409334,18409407
HMGB1P21,chr5,77940088,77940668
RPL9P5,chr14,59030864,59031334
RNU6-661P,chr5,61739003,61739109
PRTG,chr15,55903744,56035288
RUSC1-AS1,chr1,155286654,155293967
RNU6-268P,chr2,231616856,231616962
RNA5SP95,chr2,61225887,61226023
PTPRF,chr1,43990858,44089343
LINC01120,chr2,132160474,132166622
RN7SL20P,chr22,32153188,32153482
RNU6-1179P,chr19,22738063,22738169
RN7SL416P,chr7,100127987,100128282
SNORD88B,chr19,51302289,51302379
ZNF37BP,chr10,43008958,43048270
SNORD88A,chr19,51302699,51302789
GTF2H5,chr6,158589384,158620376
RN7SKP70,chr5,178046729,178046999
SNORD88C,chr19,51305585,51305675
TAF9,chr5,68646811,68665840
PCOLCE-AS1,chr7,100187025,100201829
RN7SL799P,chrX,63430570,63430866
SNX8,chr7,2291405,2393953
ZC3H6,chr2,113033171,113097640
AACSP1,chr5,178191862,178245436
SIM1,chr6,100832891,100912805
THAP9-AS1,chr4,83814162,83822113
SUCLA2P2,chr2,76333142,76334450
CCDC22,chrX,49091927,49106987
RNA5SP136,chr3,72740856,72740962
MIR555,chr1,155316141,155316236
RNU6-201P,chr22,32233224,32233284
ADM,chr11,10326227,10328944
RNU6-106P,chr1,155328503,155328609
CLEC4F,chr2,71035775,71047732
SPTY2D1-AS1,chr11,18621334,18631802
HKDC1,chr10,70980059,71027315
FXYD6P1,chr10,43050888,43051172
PSMD12P,chr3,72925888,72927253
ASH1L-IT1,chr1,155365801,155366769
RNU6-1297P,chr1,155389188,155389291
BAI1,chr8,143530791,143626370
XKRYP1,chrY,20670463,20670954
MYBPC1,chr12,101962131,102079796
RPLP1P11,chr17,15947935,15948275
LRRC73,chr6,43474707,43478424
POU5F1P4,chr1,155402969,155404053
RN7SL860P,chr19,22784247,22784539
SHC1P1,chrX,63652281,63654025
ISCA1P1,chr5,62072704,62073090
MYO1A,chr12,57422301,57444982
PRYP5,chrY,20691244,20691509
TCEB1P7,chrY,20694212,20694542
EHD1,chr11,64619114,64655768
YWHAZP7,chrX,63832512,63833142
KCNJ2,chr17,68164814,68176189
RN7SKP203,chr2,76672205,76672536
KRT8P27,chrX,63842997,63844453
RPL21P1,chr12,122849327,122850176
IL17F,chr6,52101479,52109335
RN7SKP164,chr2,76822539,76822804
USP18,chr22,18632666,18660164
ANKRD32,chr5,93954052,94075141
RNY3P1,chr5,78466057,78466158
SLC7A1,chr13,30083547,30169825
WFIKKN1,chr16,679239,684116
RNA5SP98,chr2,77000035,77000171
GRPEL2P2,chrX,63917758,63918427
RN7SL297P,chr2,112687752,112688041
RNU6-314P,chr17,16002018,16002121
RNU6-220P,chr8,144432342,144432448
PEBP1,chr12,118573663,118583389
RNU6-862P,chr17,16041082,16041186
FTH1P23,chr3,72978195,72978744
RHPN1-AS1,chr8,144448801,144450718
RN7SL442P,chr17,16095146,16095466
ADCK2,chr7,140372953,140396061
USP9YP1,chrY,20702866,20706014
FAM106DP,chr17,58250683,58251183
MIR1288,chr17,16185328,16185402
SCARNA20,chr17,58308877,58309007
SYT8,chr11,1848709,1858751
FTLP12,chr17,16294748,16295196
SFTPA3P,chr10,81355050,81355416
GGT8P,chr2,91963970,91969195
NOL7,chr6,13615559,13632971
CITED4,chr1,41326729,41328018
RN7SL305P,chr22,32377132,32377414
KLC2,chr11,66024765,66035331
TULP4,chr6,158733692,158932860
CCT4P2,chrX,64490793,64492899
MSL2,chr3,135867764,135916083
ASH1L-AS1,chr1,155531821,155533775
SLC35D3,chr6,137243402,137246777
AP1B1P1,chr22,32517964,32529456
KRT8P32,chr5,97727774,97729234
ZZEF1,chr17,3907739,4046314
KCNQ2,chr20,62037542,62103993
ATP6V1A,chr3,113465866,113530903
C6orf211,chr6,151773422,151791236
EIF3LP2,chr10,43062125,43062931
RN7SL169P,chr5,63835331,63835621
DAP3P1,chr1,155556435,155571988
MBD2,chr18,51679079,51751158
MORF4L1P5,chrX,64547868,64551113
RNU7-109P,chr8,144728080,144728139
RNU6-294P,chr5,63869396,63869497
FAM9C,chrX,13053737,13062801
KATNA1,chr6,149916009,149970108
AP1B1P2,chr22,32530015,32530120
LACTBL1,chr1,23279536,23291831
FERMT3,chr11,63974150,63991354
C16orf13,chr16,684429,686358
ABI3,chr17,47287589,47300587
SNORA53,chr12,98993413,98993661
IGKV1OR-1,chr2,92005797,92006650
TLE1P1,chrX,64627964,64628565
MTND2P26,chr11,103276941,103277969
RNU6-615P,chr4,83924565,83924670
EIF2B4,chr2,27587219,27593353
ABCD1P5,chr2,92028627,92031828
C1orf234,chr1,23337327,23342343
RPL7P59,chr7,144737092,144738034
C1QTNF3,chr5,34019553,34043937
MIR4664,chr8,144815253,144815323
IGLCOR22-1,chr22,32595906,32596221
IL20RA,chr6,137321108,137366298
FAM83H-AS1,chr8,144816310,144828507
TTC39C,chr18,21572737,21715574
LRRC16A,chr6,25279306,25620758
MARCH3,chr5,126203406,126366500
FRMD8P1,chrX,64770778,64772301
ORC2,chr2,201773696,201828403
MRPS35P2,chr5,97738246,97738436
MTND1P36,chr11,103278169,103279104
NANOGP9,chrX,64992583,64993474
TMEM177,chr2,120436743,120444083
SLC25A14P1,chr4,84398677,84399577
IL5RA,chr3,3111233,3168297
MSTO2P,chr1,155581011,155720105
ARL5A,chr2,152645498,152685006
RN7SL207P,chr7,145793180,145793471
RPL30P5,chr4,84423852,84424187
ZFP91,chr11,58346584,58388515
CPSF1P1,chr22,32665368,32669097
GNAQP1,chr2,132181374,132182440
DUTP3,chr7,146843434,146843848
TRAK1,chr3,42055294,42267381
CTPS1,chr1,41445007,41478235
IGHV3-73,chr14,107210932,107211471
COMMD5,chr8,146066427,146079121
RANP2,chr7,146864436,146864664
SEMA3F,chr3,50192478,50226508
SULT1A4,chr16,29467127,29476300
MIR548F4,chr7,147075109,147075213
SLITRK3,chr3,164904508,164914897
MIR937,chr8,144895127,144895212
MIR4693,chr11,103720634,103720708
IGHV3-74,chr14,107218676,107219365
PABPC1P6,chr2,92065995,92068221
CITED2,chr6,139693393,139695757
ASCC3,chr6,100956070,101329248
RHOQP2,chr2,132218533,132219150
MIR661,chr8,145019359,145019447
RNA5SP348,chr11,104123307,104123343
DAP,chr5,10679342,10761384
IGHV7-81,chr14,107282792,107283280
APH1A,chr1,150237804,150241980
ADRA1D,chr20,4201329,4229721
KDM1A,chr1,23345941,23410182
RAB5B,chr12,56367697,56388490
MIR4784,chr2,132248733,132248809
MCM3,chr6,52128807,52149679
IGLCOR22-2,chr22,32752663,32752975
RNU6-458P,chr14,19119515,19119621
ASIC5,chr4,156750881,156787425
MKNK1,chr1,47023090,47082515
KLKP1,chr19,51385352,51399654
RNU6-312P,chr2,201746438,201746544
FAM211A-AS1,chr17,16342136,16381992
RNU6-762P,chr2,201763743,201763844
PPIF,chr10,81107225,81115093
IGLVIVOR22-2,chr22,32772669,32773122
RN7SL694P,chr2,201792267,201792534
CYCSP6,chr2,78639919,78640220
RN7SKP212,chr3,130530612,130530939
GSTO3P,chr3,130546503,130547220
PSG6,chr19,43406231,43423715
EIF3B,chr7,2393721,2420380
HNRNPA1P35,chr2,201927812,201928774
RNU6-1206P,chr2,201944565,201944667
BTN2A1,chr6,26458150,26476849
ZFP91-CNTF,chr11,58346645,58392112
TTC31,chr2,74710200,74722013
TEX28,chrX,153498930,153523796
TRMT112P2,chr5,79328994,79329125
RN7SL216P,chr3,25061654,25061954
STRA8,chr7,134916731,134943244
SLC6A15,chr12,85253492,85307394
RNU4-19P,chr1,155864072,155864177
IMPDH1P10,chr2,202002239,202004750
RNA5SP125,chr3,25066498,25066617
CTBP2P4,chr5,97912045,97912964
BMPR1A,chr10,88516407,88692595
SNORA42,chr1,155889700,155889836
CFL1P7,chr3,25365665,25366150
SCARNA4,chr1,155895749,155895877
POLR1C,chr6,43477440,43497323
UBL3,chr13,30338508,30424821
ETF1P3,chrX,65014187,65015677
BCHE,chr3,165490692,165555260
RNA5SP497,chr22,33031088,33031184
COX20P2,chr2,231822308,231822665
CFLAR-AS1,chr2,202005007,202022546
DGCR6,chr22,18893541,18901751
COMP,chr19,18893583,18902123
RNA5SP126,chr3,25393775,25393883
ATXN3L,chrX,13336770,13338518
MRPL49P1,chr5,63970680,63971214
MIR548H2,chr16,11400297,11400384
SIGLEC18P,chr19,51623244,51626222
CNTF,chr11,58390146,58393198
CD207,chr2,71057347,71062952
NREP,chr5,110998318,111333161
SPATA3-AS1,chr2,231849083,231860747
MIR9-1,chr1,156390123,156390230
RNU7-45P,chr2,202006627,202006689
C8orf48,chr8,13424352,13425796
NMBR,chr6,142379467,142409936
OPLAH,chr8,145106167,145118735
ARHGAP42P5,chr14,19400329,19403264
MIR4442,chr3,25706364,25706430
MTND5P25,chr2,202077006,202077804
CRIP1P2,chr3,25728387,25728614
TCTEX1D4,chr1,45271585,45272957
MTND4P23,chr2,202078021,202079383
RAD51D,chr17,33426811,33448541
PTPLAD1,chr15,65822756,65870687
RN7SL522P,chr16,11571888,11572132
SNORA70B,chr2,61644379,61644513
MTCH1,chr6,36935917,36954074
MIR223,chrX,65238712,65238821
GLYAT,chr11,58407899,58499447
FZD10,chr12,130647004,130650285
AMPD3,chr11,10329860,10529126
SGCZ,chr8,13947373,15095848
HNRNPA1P4,chr8,83203859,83204614
SLC9B1P2,chr2,92071102,92119740
VPS39,chr15,42450899,42500514
BCAR4,chr16,11913686,11922702
FAM195A,chr16,691813,698474
EIF4BP9,chrX,65294677,65296189
PCMTD1P2,chr16,33941656,33942010
BTBD19,chr1,45274154,45281257
MTND4P29,chr2,202419107,202420774
RAB1B,chr11,66036004,66044963
MIR5586,chr14,60113680,60113738
CS,chr12,56665483,56694176
MTND5P31,chr2,202421615,202422988
MIR143,chr5,148808481,148808586
PKMP2,chrX,65717590,65719266
SIGLEC17P,chr19,51670585,51676780
RNU1-93P,chr2,231998176,231998344
RPEP1,chr5,64546954,64547611
RNU6-774P,chr4,85154810,85154916
RSL24D1P3,chr7,64800087,64800581
TGFBR3L,chr19,7981030,7983982
COMMD1,chr2,62115859,62374382
EGFL6,chrX,13587724,13651694
ENO1P4,chr2,202486369,202488153
MIR4777,chr2,232227419,232227504
LINC00273,chr16,33961052,33962503
PPAPDC1A,chr10,122216466,122349367
TMEM105,chr17,79285074,79304474
RNU6-827P,chr2,79109573,79109678
COX6CP1,chr16,11997780,11997994
MIR145,chr5,148809849,148812397
TKTL1,chrX,153524024,153558700
RNA5-8SP2,chr16,33965426,33965577
RNU6-812P,chr2,79109754,79109860
IL1R1,chr2,102681004,102796334
RPL3P13,chr4,85465457,85465672
ZBTB8OSP2,chr2,232298634,232299137
UBL5P4,chr16,12062365,12062600
RN7SL552P,chr4,85608881,85609171
WDFY3-AS1,chr4,85724411,85731544
SNORA75,chr2,232320511,232320647
RNU6-469P,chr4,85807539,85807639
SNORD20,chr2,232321155,232321234
TPM3P3,chr8,85074353,85074706
REG1P,chr2,79362629,79365553
MIR4764,chr22,33832568,33832655
SNORD82,chr2,232325082,232325151
WDFY3-AS2,chr4,85887538,85932430
RNU1-39P,chr5,178311716,178311880
RNU2-22P,chr2,232366701,232366912
LARGE-IT1,chr22,34119818,34120898
MIR1228,chr12,57588287,57588359
RPS23P6,chr16,12175094,12175759
RPL29P14,chr5,148924946,148925373
ZNF849P,chr19,22867969,22869534
LINC00471,chr2,232373137,232379050
SNAPC2,chr19,7985201,7988135
PIGFP1,chr5,178349065,178349717
RPL34P33,chr19,22882154,22882487
RNU6-1040P,chr8,85577994,85578100
FAM150B,chr2,279558,288851
RNU6-651P,chr2,202511439,202511543
LARGE-AS1,chr22,34121000,34146830
RNU6-588P,chr5,148986200,148986304
CCNYL3,chr16,34262756,34318684
RN7SL868P,chr5,149101633,149101933
CABYR,chr18,21718942,21741567
INTS4L2,chr7,65112777,65180636
BPY2C,chrY,27177048,27208695
PIWIL1,chr12,130822432,130857182
MIR378A,chr5,149112388,149112453
CDH10,chr5,24487209,24645087
TTC23,chr15,99676528,99791428
RN7SKP48,chr4,86021649,86021976
RNU7-19P,chr3,73076959,73077024
TMEM181,chr6,158957468,159056460
TAF9BP1,chr3,25796416,25797161
VN1R87P,chr19,22925726,22926212
GLYATL2,chr11,58601542,58671688
UBE2V1P11,chr2,202689271,202689555
RNU6-557P,chr3,73141299,73141408
ACTBP6,chr8,85860820,85861909
TLK2P1,chr17,32363700,32366891
CCDC170,chr6,151815165,151942328
CASP1P2,chr11,104934072,104942268
IGJP1,chr8,85892308,85892782
MIR4451,chr4,86643621,86643686
MIR4718,chr16,12814178,12814228
RNU6-440P,chr2,202792162,202792266
ZNF723,chr19,23015003,23042224
RPEP2,chr3,26057160,26057860
RGMB-AS1,chr5,98105322,98109173
CASP1P1,chr11,104993388,104994066
HMGN2P23,chr2,113738743,113739011
RNA5SP438,chr17,32447075,32447186
ZNF250,chr8,146076632,146127553
KATNAL1,chr13,30776767,30881621
VN1R88P,chr19,23044105,23044396
RPS20P4,chr5,149401130,149401484
KRT18P45,chr5,79584268,79585600
OR2AL1P,chr11,105065167,105065673
FMNL3,chr12,50031724,50101948
EXOSC5,chr19,41892279,41903384
RPL7P1,chr5,149473860,149474619
CNOT4,chr7,135046547,135194875
HMGB3P12,chr3,26257813,26258368
RNU6-1180P,chr2,113844382,113844488
C10orf85,chr10,122357721,122359629
CNIH2,chr11,66045661,66052772
PSG7,chr19,43428286,43441330
RNA5SP366,chr12,99477561,99477683
LRRC59,chr17,48452420,48474914
NEDD4,chr15,56119120,56285944
GJE1,chr6,142454227,142456288
RPS4XP1,chr12,100402830,100403616
RNU4-55P,chr11,105695360,105695496
REXO1L8P,chr8,86554958,86556701
PCNAP4,chr11,19296087,19296816
REXO1L3P,chr8,86566862,86568611
RNU6-277P,chr11,105845553,105845658
FCHSD1,chr5,141018869,141030986
RBMX2P5,chr5,79627392,79628360
REXO1L12P,chr8,86726454,86728113
SPSB4,chr3,140770244,140867453
REXO1L9P,chr8,86775087,86776836
PAX8-AS1,chr2,113969099,114034158
REXO1L2P,chr8,86839131,86840877
SUPT3H,chr6,44777054,45345690
PTPN4,chr2,120517207,120741394
GOLGA2P5,chr12,100550135,100567437
NAV2-IT1,chr11,19402031,19406561
ATG2A,chr11,64662007,64684722
PRNP,chr20,4666882,4682236
RNA5SP335,chr11,19423419,19423528
NPAT,chr11,108027942,108093369
NAV2-AS5,chr11,19524219,19528776
SNX6P1,chr19,23309371,23310594
C19orf47,chr19,40825443,40854434
RNU6-1170P,chr10,43100606,43100711
RN7SL499P,chr2,232510711,232510984
GPM6BP1,chrY,20740303,20740446
NAV2-AS4,chr11,19532437,19541443
LTV1,chr6,144164481,144184949
TTTY9B,chrY,20743092,20752407
TUSC3,chr8,15274724,15624158
MIR4486,chr11,19596857,19596919
ZBBX,chr3,166958075,167099134
CUBNP1,chr10,43189819,43210023
CNTN2,chr1,205012325,205047627
MIR1471,chr2,232756952,232757008
TRGC2,chr7,38279181,38289173
MIR4694,chr11,19781550,19781629
VTA1,chr6,142468367,142545826
MIR562,chr2,233037363,233037457
NAV2-AS3,chr11,20000245,20002883
TRGJ2,chr7,38292981,38293030
RNU6-1191P,chr16,81140138,81140244
NAV2-AS2,chr11,20065392,20070849
TRGJP2,chr7,38295938,38295997
ECEL1P3,chr2,233214464,233216019
NTAN1P2,chr8,87493983,87495231
RN7SL750P,chr7,100418651,100418886
NAV2-AS1,chr11,20141230,20142178
MIR4720,chr16,81418623,81418698
TRGC1,chr7,38297480,38305279
RN7SL549P,chr7,100503919,100504197
SLC2A3P4,chr8,87515820,87517290
RNU6-879P,chr12,57809079,57809186
WDR11,chr10,122610687,122669036
ECEL1P2,chr2,233250460,233252167
OFD1P5Y,chrY,20743949,20790963
TRNT1,chr3,3168600,3192563
RNU6-1184P,chr7,147528862,147528969
RNA5SP249,chr7,147546976,147547074
RNA5SP336,chr11,21022427,21022543
SPECC1,chr17,19912657,20222339
TMEM120A,chr7,75616155,75623977
RN7SL456P,chr7,147637096,147637391
ERAL1,chr17,27181956,27188085
GOLGA2P1,chr8,87669616,87672521
PTCH2,chr1,45285516,45308735
ANKRD40,chr17,48770551,48785285
ZNF300P1,chr5,150310207,150325851
PRND,chr20,4702556,4709106
RN7SL72P,chr7,148135401,148135667
SOX9,chr17,70117161,70122561
RN7SL71P,chr5,178893834,178894126
EPS8L1,chr19,55583388,55599291
AFAP1L2,chr10,116054583,116164515
BEND3P3,chr10,81444250,81444739
UBE2Q2P10,chr8,87672753,87674150
DYNLT1,chr6,159057506,159065771
TDO2,chr4,156775890,156841558
TNNI2,chr11,1860219,1862910
ENG,chr9,130577291,130617035
RNU6-594P,chr12,57904847,57904918
RN7SL312P,chr12,57907700,57908023
YIF1A,chr11,66052051,66056641
MIR616,chr12,57912946,57913042
BUB1P1,chr10,129666145,129666751
PRNT,chr20,4711928,4721314
RNA5SP337,chr11,21405347,21405455
RN7SKP54,chr7,100701580,100701848
CDY1,chrY,27768264,27771049
RNU7-20P,chr7,148518104,148518165
RN7SL569P,chr7,148587306,148587607
RN7SKP96,chr4,87257471,87257767
RNY5,chr7,148638580,148638658
MIR4452,chr4,87463635,87463705
RNA5SP197,chr5,150857020,150857138
MIR4653,chr7,100802754,100802836
MED15P4,chr2,132292760,132294561
DGAT2L7P,chr7,100845043,100846807
KPNA2,chr17,66031635,66042958
FAM71B,chr5,156588857,156593275
TCEANC,chrX,13671225,13700083
CTXN1,chr19,7989372,7991051
TCERG1L,chr10,132890654,133109984
RASSF2,chr20,4760669,4804291
FAM25C,chr10,49199649,49207818
SOX5P,chr8,88800790,88801916
PSG11,chr19,43511808,43530664
DNAJC19,chr3,180701497,180707562
RNA5SP338,chr11,22709897,22709981
IL7R,chr5,35852797,35879705
TRPT1,chr11,63991271,63993726
TAOK3,chr12,118587606,118810750
DIS3L2P1,chr2,233306744,233312128
KCNIP4,chr4,20730239,21950422
NPAP1P2,chr10,81620329,81621562
MIR5001,chr2,233415184,233415283
RPL34,chr4,109541722,109551568
CTSLP6,chr10,81630131,81633659
PRDX2P3,chr5,178999157,178999742
WDR90,chr16,699311,717833
RPS26P52,chr16,14016189,14016536
TECRP1,chr4,87870818,87871276
MIR1237,chr11,64136074,64136175
RAB9A,chrX,13707244,13728625
LATS1,chr6,149979289,150039392
ACTR3BP2,chr2,92128694,92130496
SLC39A11,chr17,70642088,71088851
VN1R68P,chr16,34352609,34353327
GAPDHP60,chr4,88128244,88129238
RNU6-394P,chrX,65896100,65896206
POTEKP,chr2,132349325,132384839
VN1R69P,chr16,34368885,34369446
WAC,chr10,28821422,28912041
SPOCK3,chr4,167654535,168155947
EEF1A2,chr20,62119366,62130505
NRN1L,chr16,67918708,67922758
MIR5705,chr4,88221647,88221735
TIMM44,chr19,7991603,8008805
ITSN1,chr21,35014706,35272165
TVP23CP2,chr16,14294214,14294836
SLFNL1,chr1,41481269,41488909
RN7SL681P,chr4,88308038,88308326
MARCH4,chr2,217122588,217236750
CTSO,chr4,156845270,156875069
CSNK1A1P3,chr5,98169086,98169415
DDX52,chr17,35969787,36003493
THOC7,chr3,63819546,63849579
MIR192,chr11,64658609,64658718
MIR194-2,chr11,64658827,64660921
B3GNT8,chr19,41931264,41934635
RN7SKP15,chr12,27959015,27959323
RN7SL114P,chr11,64817249,64817511
ANKRD44,chr2,197831741,198175897
RNU6-402P,chr5,98225435,98225537
TRAPPC2,chrX,13730363,13752754
MIR193B,chr16,14397824,14397906
MIR365A,chr16,14403142,14403228
SYTL3,chr6,159071046,159185908
HIGD1AP10,chr11,64913162,64913443
UBE2MP1,chr16,34404063,34404612
RNU2-23P,chr11,64915055,64915249
C3orf83,chr3,12556433,12602558
CHEK2P3,chr2,92145462,92151636
SLC25A1P4,chr16,34407687,34408464
RN7SL274P,chr16,14695684,14695951
ARC,chr8,143692405,143696833
RNU7-125P,chr16,14737645,14737706
HEATR5A,chr14,31760994,31889788
RNY4,chr7,148660407,148660502
GOLGA8J,chr15,30375158,30385702
PSKH1,chr16,67927175,67963581
RNY3,chr7,148680847,148680948
PGAM1P8,chr11,64942506,64942973
RNY1,chr7,148684228,148684340
RNU6-650P,chr7,148730149,148730259
COX6B1P1,chr7,148751053,148751265
LUC7L3,chr17,48796905,48833574
RN7SL521P,chr7,148822785,148823078
PPP2R2D,chr10,133747955,133773331
RNU6-1225P,chrX,67321910,67321974
SLC22A20,chr11,64981311,65010228
OSTC,chr4,109571740,109588976
MOB3C,chr1,47073387,47082563
PRKRIRP4,chr11,23499614,23501976
RUNX2,chr6,45295894,45632086
TMEM81,chr1,205052258,205053645
FBXW7,chr4,153242410,153457253
PDGFC,chr4,157681606,157892546
MKRN2,chr3,12598513,12625212
HNRNPA1P12,chr5,79654899,79655859
TMEM151A,chr11,66059341,66064135
FKRP,chr19,47249303,47280245
RNU6-211P,chr5,79661545,79661651
FDXR,chr17,72858619,72869156
TMEM18,chr2,667335,677439
IGKV1OR2-2,chr2,92222172,92223026
